country,income,usage,rate
Afghanistan,,3.654121623,24.04
Albania,1914.996551,44.98994696,46.72
Algeria,2231.993335,12.50007331,65.22
Andorra,21943.3399,81,88.92
Angola,1381.004268,9.999953883,56.7
Antigua and Barbuda,11894.46407,80.64545455,30.46
Argentina,10749.41924,36.00033495,92
Armenia,1326.741757,44.00102458,63.86
Aruba,,41.80088889,46.78
Australia,25249.98606,75.8956538,88.74
Austria,26692.98411,72.73157554,67.16
Azerbaijan,2344.896916,46.67970157,51.92
Bahamas,19630.54055,42.98458017,83.7
Bahrain,12505.21254,54.99280903,88.52
Bangladesh,558.0628766,3.70000326,27.14
Barbados,9243.587053,70.02859927,39.84
Belarus,2737.670379,32.05214391,73.46
Belgium,24496.04826,73.73393447,97.36
Belize,3545.652174,12.64573333,51.7
Benin,377.0396995,3.129961803,41.2
Bermuda,62682.14701,84.65451409,100
Bhutan,1324.194906,13.59887603,34.48
Bolivia,1232.794137,20.00171014,65.58
Bosnia and Herzegovina,2183.344867,52.00206064,47.44
Botswana,4189.436587,5.999835575,59.58
Brazil,4699.411262,40.650098,85.58
Brunei,17092.46,49.98997494,74.82
Bulgaria,2549.558474,45.98658991,71.1
Burkina Faso,276.200413,1.4000607,19.56
Burundi,115.3059959,2.100212706,10.4
Cambodia,557.9475126,1.259933609,21.56
Cameroon,713.6393027,3.999977346,56.76
Canada,25575.35262,81.33839269,80.4
Cape Verde,1959.844472,29.99993952,59.62
Cayman Islands,,66,100
Central African Rep.,239.5187494,2.300026653,38.58
Chad,275.8842865,1.700031496,26.68
Chile,6334.105194,45,88.44
China,2425.471293,34.37778952,43.1
Colombia,3233.42378,36.49987464,74.5
Comoros,336.3687495,5.098265306,28.08
"Congo, Dem. Rep.",103.7758572,0.720008677,33.96
"Congo, Rep.",1253.292015,4.999875093,61.34
Cook Islands,,,
Costa Rica,5188.900935,36.49911472,63.26
Cote d'Ivoire,591.0679443,2.599973655,48.78
Croatia,6338.494668,60.11970702,57.28
Cuba,4495.046262,15.89997034,75.66
India,786.7000981,7.499995878,29.54
